Name,Region,Image,IsDisbanded,RenamedTo,IsLowercase,Short,OverviewPage
ad hoc gaming,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Ad Hoc Gaminglogo square.png,1,,1,AHG,Ad hoc gaming
ad hoc gaming Gentlemen's Club,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Ad hoc gaming Gentlemen's Clublogo square.png,1,,1,AHG.GC,Ad hoc gaming Gentlemen's Club
Adive,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Adivelogo square.png,1,,0,Adive,Adive
Adriatic Wolves,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Adriatic Wolveslogo square.png,1,,0,AW,Adriatic Wolves
Adverse,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Adverselogo square.png,1,,0,ADV,Adverse
Aegis,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Aegis (French Team)logo profile.png,1,,0,AEG,Aegis (French Team)
Aequilibritas E-Sports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Aequilibritas E-Sportslogo square.png,1,RULE,0,AeQ,Aequilibritas E-Sports
Aethernum eSports,Latin America,https://lol.fandom.com/wiki/Special:Redirect/file/Aethernum eSportslogo profile.png,1,,0,AET,Aethernum eSports
Aethra Esports,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Aethra Esportslogo square.png,1,,0,ATR,Aethra Esports
Aethra Esports Academy,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Aethra Esports Academylogo square.png,1,,0,ATR.A,Aethra Esports Academy
Aethra Esports Belgium,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Aethra Esports Belgiumlogo square.png,1,Aethra Esports,0,ATR.B,Aethra Esports Belgium
Aethra Esports Strijders,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Aethra Esports Strijderslogo square.png,0,,0,ATR.S,Aethra Esports Strijders
affNity,North America,https://lol.fandom.com/wiki/Special:Redirect/file/affNity.png,1,,1,AFN,AffNity
Afro Beast,LMS,https://lol.fandom.com/wiki/Special:Redirect/file/Team_Afrologo_square.png,1,BUFF,0,AFB,Afro Beast
Afterglow,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/Afterglow Esportslogo square.png,0,,0,AGW,Afterglow Esports
